facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
BAGEL HOUSE,"2664 LONG BEACH  ROAD,  OCEANSIDE",2025-10-31,"Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2664 LONG BEACH  ROAD,OCEANSIDE,11572,295040,HEMPSTEAD,BAGEL HOUSE,2026-06-30T00:00:00.000,,LUCKY 7 MART INC,,,783894,Inspection,Food Managers KL expires January 26. Certificate # 47291,NY,"(40.645788, -73.638706)"
BURGER KING,"3 CEDAR SWAMP  ROAD,  GLEN COVE",2025-08-13,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,3 CEDAR SWAMP  ROAD,GLEN COVE,11542,290100,GLEN COVE,BURGER KING,2026-08-31T00:00:00.000,BURGER KING,MEGA BURGERS II CORPORATION,,,576216,Inspection,,NY,"(40.858468, -73.620187)"
DUNKIN DONUTS/BASKIN ROBBINS,"285-291 GLEN STREET,  GLEN COVE",2025-10-24,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,285-291 GLEN STREET,GLEN COVE,11542,290100,GLEN COVE,DUNKIN DONUTS / BASKIN ROBBINS,2027-03-31T00:00:00.000,,VSK DONUTS LLC,,,579001,Inspection,,NY,"(40.859982, -73.621239)"
STARBUCKS COFFEE #7627,"184 SEVENTH STREET,  GARDEN CITY",2026-01-22,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,184 SEVENTH STREET,GARDEN CITY,11530,290500,HEMPSTEAD,STARBUCKS COFFEE #7627,2027-03-31T00:00:00.000,,STARBUCKS CORPORATION,,,577139,Inspection,0/0 “A”|Seats: 25|Permit: exp 03/31/2026,NY,"(40.725183, -73.634422)"
VFW MEMORIAL POST #2718 ( MHK ),"68 LINCOLN  ROAD,  FRANKLIN SQUARE",2025-04-29,"Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs;",0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,68 LINCOLN  ROAD,FRANKLIN SQUARE,11010,295015,HEMPSTEAD,VFW MEMORIAL POST #2718 (MHK),2027-03-31T00:00:00.000,VFW MEMORIAL BLDG,VFW MEMORIALBLDG INC,,,578659,Inspection,Score: 0/1 “A”|Facility rents out hall and uses for member meeting. |Bar and kitchen area.  Refrigerator in kitchen not currently in use.  Stove with hood present.,NY,"(40.708371, -73.670582)"
DUNKIN / JIMMY JOHN'S,"2944 HEMPSTEAD TURNPIKE,  LEVITTOWN",2026-01-20,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2944 HEMPSTEAD TURNPIKE,LEVITTOWN,11756,295024,HEMPSTEAD,DUNKIN / JIMMY JOHN'S,2027-02-28T00:00:00.000,,WESTSIDE DONUT LEVITTOWN ONE VENTURES LLC,,,727477,Inspection,Score “A”|Permit exp 2/26|14 seats,NY,"(40.724495, -73.52672)"
HOFSTRA UNIVERSITY - DUTCH TREATS,"1000 FULTON AVENUE,  HEMPSTEAD",2024-04-03,No violations found.,0.0,0.0,0.0,Institutional Food Service - College Food Service,Nassau  County,NASSAU,1000 FULTON AVENUE,HEMPSTEAD,11550,299900,NASSAU SCHOOLS,DUTCH TREATS @ HOFSTRA UNIVERSITY,2026-06-30T00:00:00.000,,COMPASS LCS LLC,,,717596,Inspection,"Food  manager’s Certificate: A. A #391958993-EXPIRES APRIL 30, 2026, Cert: K. L # 45157-Expires December 31, 2025, Food Permit# F1168503-Expires June 30, 2024|Inspection ratings: 0/0”A”",NY,"(40.714123, -73.603502)"
TACO BELL #3178,"325 ROCKAWAY  TURNPIKE,  LAWRENCE",2026-02-26,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,325 ROCKAWAY  TURNPIKE,LAWRENCE,11559,292400,HEMPSTEAD,TACO BELL  #3178,2027-02-28T00:00:00.000,TACO BELL #3178,"TACO BELL OF AMERICA,  LLC",,,579607,Inspection,Grade: A|Seats: 41|Permit: exp: 2/28/2027,NY,"(40.626304, -73.736471)"
DA FU HAO RESTAURANT,"135 A BABYLON TURNPIKE,  ROOSEVELT",2025-10-01,"Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,135 A BABYLON TURNPIKE,ROOSEVELT,11575,295042,HEMPSTEAD,DA FU HAO RESTAURANT,2026-05-31T00:00:00.000,,,CAO,MING XIN,669869,Re-Inspection,,NY,"(40.676689, -73.585055)"
UUCSR-VEATH HOUSE KITCHEN-SECONDARY,"48 SHELTER ROCK  ROAD,  MANHASSET",2026-01-15,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,48 SHELTER ROCK  ROAD,MANHASSET,11030,295109,N. HEMPSTEAD,UUCSR-VEATH HOUSE KITCHEN-SECONDARY,2026-07-31T00:00:00.000,UUCSR-VEATH HOUSE KITCHEN-SECONDARY,UNITARIAN UNIVERSALIST,,,579339,Inspection,Commercial kitchen  noted  |3-compartment sink 140ºF,NY,"(40.784842, -73.681874)"
8TH TEE SNACK STAND @ THE CREEK,"1 HORSE HOLLOW ROAD,  LATTINGTOWN",2023-08-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1 HORSE HOLLOW ROAD,LATTINGTOWN,11560,298200,OYSTER BAY,8TH TEE SNACK STAND @ THE CREEK,2026-07-31T00:00:00.000,,THE CREEK INC,,,816484,Inspection,Score 0/0 “A”|Not currently in operation.,NY,"(40.885312, -73.598896)"
LA FINCA RESTAURANT,"170 BROADWAY,  HICKSVILLE",2024-08-23,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,2.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,170 BROADWAY,HICKSVILLE,11801,295205,OYSTER BAY,LA FINCA RESTAURANT,2026-04-30T00:00:00.000,LA FINCA,LA FINCA RESTAURANT CORP,,,575562,Re-Inspection,- appearance ticket for compliance conference scheduled on 8/29/24 issued at time of visit.,NY,"(40.764987, -73.520934)"
"BAGEL PLACE, THE","487 BELLMORE  AVENUE,  EAST MEADOW",2024-10-25,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,2.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,487 BELLMORE  AVENUE,EAST MEADOW,11554,295012,HEMPSTEAD,THE BAGEL PLACE,2026-12-31T00:00:00.000,,THE BAGEL PLACE INC,,,570445,Re-Inspection,"Seatings: 34: Food Permit# F065507-Expires December 31, 2024:",NY,"(40.705583, -73.568805)"
POLISH NATIONAL HOME OF GLEN COVE,"10 HENDRICK AVENUE,  GLEN COVE",2023-05-17,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present;",0.0,0.0,4.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,10 HENDRICK AVENUE,GLEN COVE,11542,290100,GLEN COVE,POLISH NATIONAL HOME OF GLEN COVE,2025-10-31T00:00:00.000,,POLISH NTNL HME GLEN COVE & VICINITY INC.,,,721581,Inspection,0/4 “A” |Permit #: F0118736 exp: 10/31/23,NY,"(40.861993, -73.630971)"
UNITARIAN UNIV CONGR@ SHELTER ROCK,"48 SHELTER ROCK  ROAD,  MANHASSET",2026-01-15,Item 11D-   Non food contact surfaces of equipment not clean;,0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,48 SHELTER ROCK  ROAD,MANHASSET,11030,295109,N. HEMPSTEAD,UNITARIAN UNIVERSALIST CONGREGATION @ SHELTER ROCK,2026-01-31T00:00:00.000,UNITARIA UNIV CONGREG @ SHELTER ROCK,UNITARIAN UNIVERSALIST CONGREG @ SHELTER ROCK,,,579338,Inspection,Score:0/1 “A”|Facility noted having coffee service and externally catered  meals for congregants.,NY,"(40.784842, -73.681874)"
WILLOW TAVERN,"124 CEDARHURST  AVENUE,  CEDARHURST",2023-05-23,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;",0.0,0.0,1.0,Food Service Establishment - Tavern,Nassau  County,NASSAU,124 CEDARHURST  AVENUE,CEDARHURST,11516,292900,HEMPSTEAD,WILLOW TAVERN,2027-05-31T00:00:00.000,WILLOW TAVERN,WILLOW EMPORIUM INC,,,578529,Re-Inspection,,NY,"(40.622653, -73.724314)"
IAVARONE CAFE,"1534 UNION  TURNPIKE,  NEW HYDE PARK",2025-12-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1534 UNION  TURNPIKE,NEW HYDE PARK,11040,291200,HEMPSTEAD,IAVARONE CAFE,2026-11-30T00:00:00.000,FRATELLI IAVARONE CAFE,IAVARONE BROS LLC,,,574151,Re-Inspection,No violations noted at the time of inspection.,NY,"(40.754665, -73.687998)"
ISLAND HARVEST SUMMER FOOD SERVICE,"126 SPAGNOLI ROAD,  MELVILLE",2025-07-24,No violations found.,0.0,0.0,0.0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Nassau  County,NASSAU,126 SPAGNOLI ROAD,MELVILLE,11747,299900,NASSAU SCHOOLS,P.E.A.C.E Summer Camp,,,,,,1067043,Inspection,40 meals arrived at 7:35 at 38ºF. The meals included a bbq chicken wrap. During visit gloves were noted to be used. No violations were noted.,NY,"(40.741478, -73.640137)"
ABE'S PITARIA,"3045 MERRICK  ROAD,  WANTAGH",2025-12-22,"Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,3045 MERRICK  ROAD,WANTAGH,11793,295050,HEMPSTEAD,ABE'S PITARIA,2026-04-30T00:00:00.000,,PITARIA UNLIMITED INC,,,577490,Re-Inspection,EF - FMTC exp.  Aug 2027 no.  1560472513|permit expires April 2026,NY,"(40.663949, -73.514022)"
JERK HUT,"237-21 LINDEN  BOULEVARD,  ELMONT",2024-09-12,"Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,5.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,237-21 LINDEN  BOULEVARD,ELMONT,11003,295013,HEMPSTEAD,JERK HUT,2026-11-30T00:00:00.000,PERCIS JERK EXPRESS,JERK HUT EXPRESS INC,,,574929,Inspection,Seatings: 5: A  Food Manager’s must take letter was hand-delivered to the establishment |Inspection ratings: 0/5”A”,NY,"(40.690504, -73.72529)"
TRATTORIA DI MEO CAFE,"183 ROSLYN ROAD,  ROSLYN HEIGHTS",2025-11-21,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8F-   Improper thawing procedures used; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,6.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,183 ROSLYN ROAD,ROSLYN HEIGHTS,11577,295112,N. HEMPSTEAD,TRATTORIA  DI MEO CAFE,2026-10-31T00:00:00.000,,TRATTORIA DI MEO CAFE CORP,,,556247,Inspection,Permit expires October 2026|80 seats|FMTC: SD #41044 exp 1/31/26|Score “B”,NY,"(40.788391, -73.639938)"
PANERA BREAD,"345 ROCKAWAY TURNPIKE,  LAWRENCE",2025-12-15,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,345 ROCKAWAY TURNPIKE,LAWRENCE,11559,292400,HEMPSTEAD,PANERA BREAD,2027-01-31T00:00:00.000,,DOHERTY BREADS LLC,,,763589,Inspection,Permit expires January 2026|80 seats|Score “A”,NY,"(40.626304, -73.736471)"
DUNKIN DONUTS,"1000 CARMANS  ROAD,  MASSAPEQUA",2026-03-06,"Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1000 CARMANS  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,DUNKIN DONUTS,2027-03-31T00:00:00.000,,JSK DONUTS LLC,,,673593,Inspection,A - 0/2|F0115636 Exp. 3/31/26|hot water 142 degrees F|16 seats,NY,"(40.70357, -73.43154)"
CHIPOTLE MEXICAN GRILL #0799,"215 NORTH BROADWAY,  HICKSVILLE",2025-02-10,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,215 NORTH BROADWAY,HICKSVILLE,11801,295205,OYSTER BAY,CHIPOTLE MEXICAN GRILL #0799,2026-11-30T00:00:00.000,,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,,,572595,Inspection,0/4 “A” |Permit exp 11/30/25 |Seats - 50,NY,"(40.776742, -73.529271)"
ELMONT SD - COVERT AVE SCHOOL,"144 COVERT AVENUE,  ELMONT",2024-01-30,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,144 COVERT AVENUE,ELMONT,11003,299900,NASSAU SCHOOLS,ELMONT SD - COVERT AVE SCHOOL,2026-11-30T00:00:00.000,,ELMONT UFSD,,,555437,Inspection,"Score: 0/0 “A”|Permit Expires:|FMTC:   A.G.; Cert #: 46254; Cert Exp: December 31, 2025.|              P.B..; Cert #: 44437; Cert Exp: January 31, 2026.| 	       K.M.; Cert #: 4625; Cert Exp: January 31, 2026|              G.H.; Cert #: 46314; Cert Exp: December 31, 2025.|Hot water temperature at the 3-compartment sink was noted to reach 135.1ºF.|Milk Expiration Dates: February 9th to February 12th, 2024.|See attached menu.",NY,"(40.710879, -73.689941)"
TEMPLE ISRAEL OF GREAT NECK,"108 OLD MILL  ROAD,  GREAT NECK",2024-01-04,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;,0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,108 OLD MILL  ROAD,GREAT NECK,11023,291300,N. HEMPSTEAD,TEMPLE ISRAEL OF GREAT NECK,2025-10-31T00:00:00.000,TEMPLE ISRAEL MEETING HALL,TEMPLE ISRAEL OF GREAT NECK,,,578857,Inspection,residential kitchen|with a stove and reach in refrigerator |occasionally foods are warmed up for the day care,NY,"(40.795432, -73.742133)"
"CORNER GALLEY, THE","5411 MERRICK ROAD,  MASSAPEQUA",2025-12-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,5411 MERRICK ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,THE CORNER GALLEY,2026-06-30T00:00:00.000,THE CORNER GALLEY,JOHN MORTIMOR CORP,,,575358,Inspection,Hand washing station evaluation conducted for kitchen,NY,"(40.668197, -73.437145)"
JAKE'S STEAKHOUSE,"2172 HEMPSTEAD TURNPIKE,  EAST MEADOW",2025-05-15,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,2172 HEMPSTEAD TURNPIKE,EAST MEADOW,115541851,295012,HEMPSTEAD,JAKE'S STEAKHOUSE,2026-06-30T00:00:00.000,,2172 HEMPSTEAD TPKE INC,,,783382,Inspection,"Seatings: 142: Food Manager’s Certificate: P. H # 61838665-Expires March 31, 2027, Food Permit# F0116990-Expires June 30, 2025|Inspection ratings: 0/4”A”",NY,"(40.725039, -73.555637)"
HOFSTRA ARENA UPPER LEVEL CONCESSION,"1000 FULTON AVENUE,  HEMPSTEAD",2024-04-23,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 11D-   Non food contact surfaces of equipment not clean; Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,5.0,Institutional Food Service - College Food Service,Nassau  County,NASSAU,1000 FULTON AVENUE,HEMPSTEAD,11550,299900,NASSAU SCHOOLS,HOFSTRA UPPER LEVEL ARENA CONCESSION,2026-06-30T00:00:00.000,,"COMPASS LCS, LLC",,,717754,Inspection,Inspection ratings: 0/5”A”,NY,"(40.714123, -73.603502)"
